Model	mdlname	Par
2427	'[x^2, y^2, x, x*y, x*y^2, 1]'	6
2428	'[x^3, y^3, y, x*y, x*y^2, 1]'	6
2429	'[x^3, x^2, y, x*y, x*y^2, 1]'	6
2430	'[y^3, x^2, y, x*y, x*y^2, 1]'	6
2431	'[x^3, y^2, y, x*y, x*y^2, 1]'	6
2432	'[y^3, y^2, y, x*y, x*y^2, 1]'	6
2433	'[x^2, y^2, y, x*y, x*y^2, 1]'	6
2434	'[x^3, x, y, x*y, x*y^2, 1]'	6
2435	'[y^3, x, y, x*y, x*y^2, 1]'	6
2436	'[x^2, x, y, x*y, x*y^2, 1]'	6
2437	'[y^2, x, y, x*y, x*y^2, 1]'	6
2438	'[x^3, y^3, x^2, x^2*y^2, x*y^2, 1]'	6
2439	'[x^3, y^3, y^2, x^2*y^2, x*y^2, 1]'	6
2440	'[x^3, x^2, y^2, x^2*y^2, x*y^2, 1]'	6
2441	'[y^3, x^2, y^2, x^2*y^2, x*y^2, 1]'	6
2442	'[x^3, y^3, x, x^2*y^2, x*y^2, 1]'	6
2443	'[x^3, x^2, x, x^2*y^2, x*y^2, 1]'	6
2444	'[y^3, x^2, x, x^2*y^2, x*y^2, 1]'	6
2445	'[x^3, y^2, x, x^2*y^2, x*y^2, 1]'	6
2446	'[y^3, y^2, x, x^2*y^2, x*y^2, 1]'	6
2447	'[x^2, y^2, x, x^2*y^2, x*y^2, 1]'	6
2448	'[x^3, y^3, y, x^2*y^2, x*y^2, 1]'	6
2449	'[x^3, x^2, y, x^2*y^2, x*y^2, 1]'	6
2450	'[y^3, x^2, y, x^2*y^2, x*y^2, 1]'	6
2451	'[x^3, y^2, y, x^2*y^2, x*y^2, 1]'	6
2452	'[y^3, y^2, y, x^2*y^2, x*y^2, 1]'	6
2453	'[x^2, y^2, y, x^2*y^2, x*y^2, 1]'	6
2454	'[x^3, x, y, x^2*y^2, x*y^2, 1]'	6
2455	'[y^3, x, y, x^2*y^2, x*y^2, 1]'	6
2456	'[x^2, x, y, x^2*y^2, x*y^2, 1]'	6
2457	'[y^2, x, y, x^2*y^2, x*y^2, 1]'	6
2458	'[x^3, y^3, x*y, x^2*y^2, x*y^2, 1]'	6
2459	'[x^3, x^2, x*y, x^2*y^2, x*y^2, 1]'	6
2460	'[y^3, x^2, x*y, x^2*y^2, x*y^2, 1]'	6
2461	'[x^3, y^2, x*y, x^2*y^2, x*y^2, 1]'	6
2462	'[y^3, y^2, x*y, x^2*y^2, x*y^2, 1]'	6
2463	'[x^2, y^2, x*y, x^2*y^2, x*y^2, 1]'	6
2464	'[x^3, x, x*y, x^2*y^2, x*y^2, 1]'	6
2465	'[y^3, x, x*y, x^2*y^2, x*y^2, 1]'	6
2466	'[x^2, x, x*y, x^2*y^2, x*y^2, 1]'	6
2467	'[y^2, x, x*y, x^2*y^2, x*y^2, 1]'	6
2468	'[x^3, y, x*y, x^2*y^2, x*y^2, 1]'	6
2469	'[y^3, y, x*y, x^2*y^2, x*y^2, 1]'	6
2470	'[x^2, y, x*y, x^2*y^2, x*y^2, 1]'	6
2471	'[y^2, y, x*y, x^2*y^2, x*y^2, 1]'	6
2472	'[x, y, x*y, x^2*y^2, x*y^2, 1]'	6
2473	'[x^3, y^3, x^2, x^3*y^3, x*y^2, 1]'	6
2474	'[x^3, y^3, y^2, x^3*y^3, x*y^2, 1]'	6
2475	'[x^3, x^2, y^2, x^3*y^3, x*y^2, 1]'	6
2476	'[y^3, x^2, y^2, x^3*y^3, x*y^2, 1]'	6
2477	'[x^3, y^3, x, x^3*y^3, x*y^2, 1]'	6
2478	'[x^3, x^2, x, x^3*y^3, x*y^2, 1]'	6
2479	'[y^3, x^2, x, x^3*y^3, x*y^2, 1]'	6
2480	'[x^3, y^2, x, x^3*y^3, x*y^2, 1]'	6
2481	'[y^3, y^2, x, x^3*y^3, x*y^2, 1]'	6
2482	'[x^2, y^2, x, x^3*y^3, x*y^2, 1]'	6
2483	'[x^3, y^3, y, x^3*y^3, x*y^2, 1]'	6
2484	'[x^3, x^2, y, x^3*y^3, x*y^2, 1]'	6
2485	'[y^3, x^2, y, x^3*y^3, x*y^2, 1]'	6
2486	'[x^3, y^2, y, x^3*y^3, x*y^2, 1]'	6
2487	'[y^3, y^2, y, x^3*y^3, x*y^2, 1]'	6
2488	'[x^2, y^2, y, x^3*y^3, x*y^2, 1]'	6
2489	'[x^3, x, y, x^3*y^3, x*y^2, 1]'	6
2490	'[y^3, x, y, x^3*y^3, x*y^2, 1]'	6
2491	'[x^2, x, y, x^3*y^3, x*y^2, 1]'	6
2492	'[y^2, x, y, x^3*y^3, x*y^2, 1]'	6
2493	'[x^3, y^3, x*y, x^3*y^3, x*y^2, 1]'	6
2494	'[x^3, x^2, x*y, x^3*y^3, x*y^2, 1]'	6
2495	'[y^3, x^2, x*y, x^3*y^3, x*y^2, 1]'	6
2496	'[x^3, y^2, x*y, x^3*y^3, x*y^2, 1]'	6
2497	'[y^3, y^2, x*y, x^3*y^3, x*y^2, 1]'	6
2498	'[x^2, y^2, x*y, x^3*y^3, x*y^2, 1]'	6
2499	'[x^3, x, x*y, x^3*y^3, x*y^2, 1]'	6
2500	'[y^3, x, x*y, x^3*y^3, x*y^2, 1]'	6
2501	'[x^2, x, x*y, x^3*y^3, x*y^2, 1]'	6
2502	'[y^2, x, x*y, x^3*y^3, x*y^2, 1]'	6
2503	'[x^3, y, x*y, x^3*y^3, x*y^2, 1]'	6
2504	'[y^3, y, x*y, x^3*y^3, x*y^2, 1]'	6
2505	'[x^2, y, x*y, x^3*y^3, x*y^2, 1]'	6
2506	'[y^2, y, x*y, x^3*y^3, x*y^2, 1]'	6
2507	'[x, y, x*y, x^3*y^3, x*y^2, 1]'	6
2508	'[x^3, y^3, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2509	'[x^3, x^2, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2510	'[y^3, x^2, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2511	'[x^3, y^2, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2512	'[y^3, y^2, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2513	'[x^2, y^2, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2514	'[x^3, x, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2515	'[y^3, x, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2516	'[x^2, x, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2517	'[y^2, x, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2518	'[x^3, y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2519	'[y^3, y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2520	'[x^2, y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2521	'[y^2, y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2522	'[x, y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2523	'[x^3, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2524	'[y^3, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2525	'[x^2, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2526	'[y^2, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2527	'[x, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2528	'[y, x*y, x^2*y^2, x^3*y^3, x*y^2, 1]'	6
2529	'[x^3, y^3, x^2, x^2*y, x*y^2, 1]'	6
2530	'[x^3, y^3, y^2, x^2*y, x*y^2, 1]'	6
2531	'[x^3, x^2, y^2, x^2*y, x*y^2, 1]'	6
2532	'[y^3, x^2, y^2, x^2*y, x*y^2, 1]'	6
2533	'[x^3, y^3, x, x^2*y, x*y^2, 1]'	6
2534	'[x^3, x^2, x, x^2*y, x*y^2, 1]'	6
2535	'[y^3, x^2, x, x^2*y, x*y^2, 1]'	6
2536	'[x^3, y^2, x, x^2*y, x*y^2, 1]'	6
2537	'[y^3, y^2, x, x^2*y, x*y^2, 1]'	6
2538	'[x^2, y^2, x, x^2*y, x*y^2, 1]'	6
2539	'[x^3, y^3, y, x^2*y, x*y^2, 1]'	6
2540	'[x^3, x^2, y, x^2*y, x*y^2, 1]'	6
2541	'[y^3, x^2, y, x^2*y, x*y^2, 1]'	6
2542	'[x^3, y^2, y, x^2*y, x*y^2, 1]'	6
2543	'[y^3, y^2, y, x^2*y, x*y^2, 1]'	6
2544	'[x^2, y^2, y, x^2*y, x*y^2, 1]'	6
2545	'[x^3, x, y, x^2*y, x*y^2, 1]'	6
2546	'[y^3, x, y, x^2*y, x*y^2, 1]'	6
2547	'[x^2, x, y, x^2*y, x*y^2, 1]'	6
2548	'[y^2, x, y, x^2*y, x*y^2, 1]'	6
2549	'[x^3, y^3, x*y, x^2*y, x*y^2, 1]'	6
2550	'[x^3, x^2, x*y, x^2*y, x*y^2, 1]'	6
2551	'[y^3, x^2, x*y, x^2*y, x*y^2, 1]'	6
2552	'[x^3, y^2, x*y, x^2*y, x*y^2, 1]'	6
2553	'[y^3, y^2, x*y, x^2*y, x*y^2, 1]'	6
2554	'[x^2, y^2, x*y, x^2*y, x*y^2, 1]'	6
2555	'[x^3, x, x*y, x^2*y, x*y^2, 1]'	6
2556	'[y^3, x, x*y, x^2*y, x*y^2, 1]'	6
2557	'[x^2, x, x*y, x^2*y, x*y^2, 1]'	6
2558	'[y^2, x, x*y, x^2*y, x*y^2, 1]'	6
2559	'[x^3, y, x*y, x^2*y, x*y^2, 1]'	6
2560	'[y^3, y, x*y, x^2*y, x*y^2, 1]'	6
2561	'[x^2, y, x*y, x^2*y, x*y^2, 1]'	6
2562	'[y^2, y, x*y, x^2*y, x*y^2, 1]'	6
2563	'[x, y, x*y, x^2*y, x*y^2, 1]'	6
2564	'[x^3, y^3, x^2*y^2, x^2*y, x*y^2, 1]'	6
2565	'[x^3, x^2, x^2*y^2, x^2*y, x*y^2, 1]'	6
2566	'[y^3, x^2, x^2*y^2, x^2*y, x*y^2, 1]'	6
2567	'[x^3, y^2, x^2*y^2, x^2*y, x*y^2, 1]'	6
2568	'[y^3, y^2, x^2*y^2, x^2*y, x*y^2, 1]'	6
2569	'[x^2, y^2, x^2*y^2, x^2*y, x*y^2, 1]'	6
2570	'[x^3, x, x^2*y^2, x^2*y, x*y^2, 1]'	6
2571	'[y^3, x, x^2*y^2, x^2*y, x*y^2, 1]'	6
2572	'[x^2, x, x^2*y^2, x^2*y, x*y^2, 1]'	6
2573	'[y^2, x, x^2*y^2, x^2*y, x*y^2, 1]'	6
2574	'[x^3, y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2575	'[y^3, y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2576	'[x^2, y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2577	'[y^2, y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2578	'[x, y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2579	'[x^3, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2580	'[y^3, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2581	'[x^2, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2582	'[y^2, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2583	'[x, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2584	'[y, x*y, x^2*y^2, x^2*y, x*y^2, 1]'	6
2585	'[x^3, y^3, x^3*y^3, x^2*y, x*y^2, 1]'	6
2586	'[x^3, x^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2587	'[y^3, x^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2588	'[x^3, y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2589	'[y^3, y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2590	'[x^2, y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2591	'[x^3, x, x^3*y^3, x^2*y, x*y^2, 1]'	6
2592	'[y^3, x, x^3*y^3, x^2*y, x*y^2, 1]'	6
2593	'[x^2, x, x^3*y^3, x^2*y, x*y^2, 1]'	6
2594	'[y^2, x, x^3*y^3, x^2*y, x*y^2, 1]'	6
2595	'[x^3, y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2596	'[y^3, y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2597	'[x^2, y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2598	'[y^2, y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2599	'[x, y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2600	'[x^3, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2601	'[y^3, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2602	'[x^2, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2603	'[y^2, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2604	'[x, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2605	'[y, x*y, x^3*y^3, x^2*y, x*y^2, 1]'	6
2606	'[x^3, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2607	'[y^3, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2608	'[x^2, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2609	'[y^2, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2610	'[x, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2611	'[y, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2612	'[x*y, x^2*y^2, x^3*y^3, x^2*y, x*y^2, 1]'	6
2613	'[x^3, y^3, x^2, x^3*y, x*y^2, 1]'	6
2614	'[x^3, y^3, y^2, x^3*y, x*y^2, 1]'	6
2615	'[x^3, x^2, y^2, x^3*y, x*y^2, 1]'	6
2616	'[y^3, x^2, y^2, x^3*y, x*y^2, 1]'	6
2617	'[x^3, y^3, x, x^3*y, x*y^2, 1]'	6
2618	'[x^3, x^2, x, x^3*y, x*y^2, 1]'	6
2619	'[y^3, x^2, x, x^3*y, x*y^2, 1]'	6
2620	'[x^3, y^2, x, x^3*y, x*y^2, 1]'	6
2621	'[y^3, y^2, x, x^3*y, x*y^2, 1]'	6
2622	'[x^2, y^2, x, x^3*y, x*y^2, 1]'	6
2623	'[x^3, y^3, y, x^3*y, x*y^2, 1]'	6
2624	'[x^3, x^2, y, x^3*y, x*y^2, 1]'	6
2625	'[y^3, x^2, y, x^3*y, x*y^2, 1]'	6
2626	'[x^3, y^2, y, x^3*y, x*y^2, 1]'	6
2627	'[y^3, y^2, y, x^3*y, x*y^2, 1]'	6
2628	'[x^2, y^2, y, x^3*y, x*y^2, 1]'	6
2629	'[x^3, x, y, x^3*y, x*y^2, 1]'	6
2630	'[y^3, x, y, x^3*y, x*y^2, 1]'	6
2631	'[x^2, x, y, x^3*y, x*y^2, 1]'	6
2632	'[y^2, x, y, x^3*y, x*y^2, 1]'	6
2633	'[x^3, y^3, x*y, x^3*y, x*y^2, 1]'	6
2634	'[x^3, x^2, x*y, x^3*y, x*y^2, 1]'	6
2635	'[y^3, x^2, x*y, x^3*y, x*y^2, 1]'	6
2636	'[x^3, y^2, x*y, x^3*y, x*y^2, 1]'	6
2637	'[y^3, y^2, x*y, x^3*y, x*y^2, 1]'	6
2638	'[x^2, y^2, x*y, x^3*y, x*y^2, 1]'	6
2639	'[x^3, x, x*y, x^3*y, x*y^2, 1]'	6
2640	'[y^3, x, x*y, x^3*y, x*y^2, 1]'	6
2641	'[x^2, x, x*y, x^3*y, x*y^2, 1]'	6
2642	'[y^2, x, x*y, x^3*y, x*y^2, 1]'	6
2643	'[x^3, y, x*y, x^3*y, x*y^2, 1]'	6
2644	'[y^3, y, x*y, x^3*y, x*y^2, 1]'	6
2645	'[x^2, y, x*y, x^3*y, x*y^2, 1]'	6
2646	'[y^2, y, x*y, x^3*y, x*y^2, 1]'	6
2647	'[x, y, x*y, x^3*y, x*y^2, 1]'	6
2648	'[x^3, y^3, x^2*y^2, x^3*y, x*y^2, 1]'	6
2649	'[x^3, x^2, x^2*y^2, x^3*y, x*y^2, 1]'	6
2650	'[y^3, x^2, x^2*y^2, x^3*y, x*y^2, 1]'	6
2651	'[x^3, y^2, x^2*y^2, x^3*y, x*y^2, 1]'	6
2652	'[y^3, y^2, x^2*y^2, x^3*y, x*y^2, 1]'	6
2653	'[x^2, y^2, x^2*y^2, x^3*y, x*y^2, 1]'	6
2654	'[x^3, x, x^2*y^2, x^3*y, x*y^2, 1]'	6
2655	'[y^3, x, x^2*y^2, x^3*y, x*y^2, 1]'	6
2656	'[x^2, x, x^2*y^2, x^3*y, x*y^2, 1]'	6
2657	'[y^2, x, x^2*y^2, x^3*y, x*y^2, 1]'	6
2658	'[x^3, y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2659	'[y^3, y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2660	'[x^2, y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2661	'[y^2, y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2662	'[x, y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2663	'[x^3, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2664	'[y^3, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2665	'[x^2, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2666	'[y^2, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2667	'[x, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2668	'[y, x*y, x^2*y^2, x^3*y, x*y^2, 1]'	6
2669	'[x^3, y^3, x^3*y^3, x^3*y, x*y^2, 1]'	6
2670	'[x^3, x^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2671	'[y^3, x^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2672	'[x^3, y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2673	'[y^3, y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2674	'[x^2, y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2675	'[x^3, x, x^3*y^3, x^3*y, x*y^2, 1]'	6
2676	'[y^3, x, x^3*y^3, x^3*y, x*y^2, 1]'	6
2677	'[x^2, x, x^3*y^3, x^3*y, x*y^2, 1]'	6
2678	'[y^2, x, x^3*y^3, x^3*y, x*y^2, 1]'	6
2679	'[x^3, y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2680	'[y^3, y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2681	'[x^2, y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2682	'[y^2, y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2683	'[x, y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2684	'[x^3, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2685	'[y^3, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2686	'[x^2, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2687	'[y^2, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2688	'[x, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2689	'[y, x*y, x^3*y^3, x^3*y, x*y^2, 1]'	6
2690	'[x^3, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2691	'[y^3, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2692	'[x^2, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2693	'[y^2, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2694	'[x, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2695	'[y, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2696	'[x*y, x^2*y^2, x^3*y^3, x^3*y, x*y^2, 1]'	6
2697	'[x^3, y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2698	'[x^3, x^2, x^2*y, x^3*y, x*y^2, 1]'	6
2699	'[y^3, x^2, x^2*y, x^3*y, x*y^2, 1]'	6
2700	'[x^3, y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2701	'[y^3, y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2702	'[x^2, y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2703	'[x^3, x, x^2*y, x^3*y, x*y^2, 1]'	6
2704	'[y^3, x, x^2*y, x^3*y, x*y^2, 1]'	6
2705	'[x^2, x, x^2*y, x^3*y, x*y^2, 1]'	6
2706	'[y^2, x, x^2*y, x^3*y, x*y^2, 1]'	6
2707	'[x^3, y, x^2*y, x^3*y, x*y^2, 1]'	6
2708	'[y^3, y, x^2*y, x^3*y, x*y^2, 1]'	6
2709	'[x^2, y, x^2*y, x^3*y, x*y^2, 1]'	6
2710	'[y^2, y, x^2*y, x^3*y, x*y^2, 1]'	6
2711	'[x, y, x^2*y, x^3*y, x*y^2, 1]'	6
2712	'[x^3, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2713	'[y^3, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2714	'[x^2, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2715	'[y^2, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2716	'[x, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2717	'[y, x*y, x^2*y, x^3*y, x*y^2, 1]'	6
2718	'[x^3, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2719	'[y^3, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2720	'[x^2, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2721	'[y^2, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2722	'[x, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2723	'[y, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2724	'[x*y, x^2*y^2, x^2*y, x^3*y, x*y^2, 1]'	6
2725	'[x^3, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2726	'[y^3, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2727	'[x^2, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2728	'[y^2, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2729	'[x, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2730	'[y, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2731	'[x*y, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2732	'[x^2*y^2, x^3*y^3, x^2*y, x^3*y, x*y^2, 1]'	6
2733	'[x^3, y^3, x^2, y^2, x*y^3, 1]'	6
2734	'[x^3, y^3, x^2, x, x*y^3, 1]'	6
2735	'[x^3, y^3, y^2, x, x*y^3, 1]'	6
2736	'[x^3, x^2, y^2, x, x*y^3, 1]'	6
2737	'[y^3, x^2, y^2, x, x*y^3, 1]'	6
2738	'[x^3, y^3, x^2, y, x*y^3, 1]'	6
2739	'[x^3, y^3, y^2, y, x*y^3, 1]'	6
2740	'[x^3, x^2, y^2, y, x*y^3, 1]'	6
2741	'[y^3, x^2, y^2, y, x*y^3, 1]'	6
2742	'[x^3, y^3, x, y, x*y^3, 1]'	6
2743	'[x^3, x^2, x, y, x*y^3, 1]'	6
2744	'[y^3, x^2, x, y, x*y^3, 1]'	6
2745	'[x^3, y^2, x, y, x*y^3, 1]'	6
2746	'[y^3, y^2, x, y, x*y^3, 1]'	6
2747	'[x^2, y^2, x, y, x*y^3, 1]'	6
2748	'[x^3, y^3, x^2, x*y, x*y^3, 1]'	6
2749	'[x^3, y^3, y^2, x*y, x*y^3, 1]'	6
2750	'[x^3, x^2, y^2, x*y, x*y^3, 1]'	6
2751	'[y^3, x^2, y^2, x*y, x*y^3, 1]'	6
2752	'[x^3, y^3, x, x*y, x*y^3, 1]'	6
2753	'[x^3, x^2, x, x*y, x*y^3, 1]'	6
2754	'[y^3, x^2, x, x*y, x*y^3, 1]'	6
2755	'[x^3, y^2, x, x*y, x*y^3, 1]'	6
2756	'[y^3, y^2, x, x*y, x*y^3, 1]'	6
2757	'[x^2, y^2, x, x*y, x*y^3, 1]'	6
2758	'[x^3, y^3, y, x*y, x*y^3, 1]'	6
2759	'[x^3, x^2, y, x*y, x*y^3, 1]'	6
2760	'[y^3, x^2, y, x*y, x*y^3, 1]'	6
2761	'[x^3, y^2, y, x*y, x*y^3, 1]'	6
2762	'[y^3, y^2, y, x*y, x*y^3, 1]'	6
2763	'[x^2, y^2, y, x*y, x*y^3, 1]'	6
2764	'[x^3, x, y, x*y, x*y^3, 1]'	6
2765	'[y^3, x, y, x*y, x*y^3, 1]'	6
2766	'[x^2, x, y, x*y, x*y^3, 1]'	6
2767	'[y^2, x, y, x*y, x*y^3, 1]'	6
2768	'[x^3, y^3, x^2, x^2*y^2, x*y^3, 1]'	6
2769	'[x^3, y^3, y^2, x^2*y^2, x*y^3, 1]'	6
2770	'[x^3, x^2, y^2, x^2*y^2, x*y^3, 1]'	6
2771	'[y^3, x^2, y^2, x^2*y^2, x*y^3, 1]'	6
2772	'[x^3, y^3, x, x^2*y^2, x*y^3, 1]'	6
2773	'[x^3, x^2, x, x^2*y^2, x*y^3, 1]'	6
2774	'[y^3, x^2, x, x^2*y^2, x*y^3, 1]'	6
2775	'[x^3, y^2, x, x^2*y^2, x*y^3, 1]'	6
2776	'[y^3, y^2, x, x^2*y^2, x*y^3, 1]'	6
2777	'[x^2, y^2, x, x^2*y^2, x*y^3, 1]'	6
2778	'[x^3, y^3, y, x^2*y^2, x*y^3, 1]'	6
2779	'[x^3, x^2, y, x^2*y^2, x*y^3, 1]'	6
2780	'[y^3, x^2, y, x^2*y^2, x*y^3, 1]'	6
2781	'[x^3, y^2, y, x^2*y^2, x*y^3, 1]'	6
2782	'[y^3, y^2, y, x^2*y^2, x*y^3, 1]'	6
2783	'[x^2, y^2, y, x^2*y^2, x*y^3, 1]'	6
2784	'[x^3, x, y, x^2*y^2, x*y^3, 1]'	6
2785	'[y^3, x, y, x^2*y^2, x*y^3, 1]'	6
2786	'[x^2, x, y, x^2*y^2, x*y^3, 1]'	6
2787	'[y^2, x, y, x^2*y^2, x*y^3, 1]'	6
2788	'[x^3, y^3, x*y, x^2*y^2, x*y^3, 1]'	6
2789	'[x^3, x^2, x*y, x^2*y^2, x*y^3, 1]'	6
2790	'[y^3, x^2, x*y, x^2*y^2, x*y^3, 1]'	6
2791	'[x^3, y^2, x*y, x^2*y^2, x*y^3, 1]'	6
2792	'[y^3, y^2, x*y, x^2*y^2, x*y^3, 1]'	6
2793	'[x^2, y^2, x*y, x^2*y^2, x*y^3, 1]'	6
2794	'[x^3, x, x*y, x^2*y^2, x*y^3, 1]'	6
2795	'[y^3, x, x*y, x^2*y^2, x*y^3, 1]'	6
2796	'[x^2, x, x*y, x^2*y^2, x*y^3, 1]'	6
2797	'[y^2, x, x*y, x^2*y^2, x*y^3, 1]'	6
2798	'[x^3, y, x*y, x^2*y^2, x*y^3, 1]'	6
2799	'[y^3, y, x*y, x^2*y^2, x*y^3, 1]'	6
2800	'[x^2, y, x*y, x^2*y^2, x*y^3, 1]'	6
2801	'[y^2, y, x*y, x^2*y^2, x*y^3, 1]'	6
2802	'[x, y, x*y, x^2*y^2, x*y^3, 1]'	6
2803	'[x^3, y^3, x^2, x^3*y^3, x*y^3, 1]'	6
2804	'[x^3, y^3, y^2, x^3*y^3, x*y^3, 1]'	6
2805	'[x^3, x^2, y^2, x^3*y^3, x*y^3, 1]'	6
2806	'[y^3, x^2, y^2, x^3*y^3, x*y^3, 1]'	6
2807	'[x^3, y^3, x, x^3*y^3, x*y^3, 1]'	6
