Model	mdlname	Par
152	'[y^3, y, x*y, 1]'	4
153	'[x^2, y, x*y, 1]'	4
154	'[y^2, y, x*y, 1]'	4
155	'[x, y, x*y, 1]'	4
156	'[x^3, y^3, x^2*y^2, 1]'	4
157	'[x^3, x^2, x^2*y^2, 1]'	4
158	'[y^3, x^2, x^2*y^2, 1]'	4
159	'[x^3, y^2, x^2*y^2, 1]'	4
160	'[y^3, y^2, x^2*y^2, 1]'	4
161	'[x^2, y^2, x^2*y^2, 1]'	4
162	'[x^3, x, x^2*y^2, 1]'	4
163	'[y^3, x, x^2*y^2, 1]'	4
164	'[x^2, x, x^2*y^2, 1]'	4
165	'[y^2, x, x^2*y^2, 1]'	4
166	'[x^3, y, x^2*y^2, 1]'	4
167	'[y^3, y, x^2*y^2, 1]'	4
168	'[x^2, y, x^2*y^2, 1]'	4
169	'[y^2, y, x^2*y^2, 1]'	4
170	'[x, y, x^2*y^2, 1]'	4
171	'[x^3, x*y, x^2*y^2, 1]'	4
172	'[y^3, x*y, x^2*y^2, 1]'	4
173	'[x^2, x*y, x^2*y^2, 1]'	4
174	'[y^2, x*y, x^2*y^2, 1]'	4
175	'[x, x*y, x^2*y^2, 1]'	4
176	'[y, x*y, x^2*y^2, 1]'	4
177	'[x^3, y^3, x^3*y^3, 1]'	4
178	'[x^3, x^2, x^3*y^3, 1]'	4
179	'[y^3, x^2, x^3*y^3, 1]'	4
180	'[x^3, y^2, x^3*y^3, 1]'	4
181	'[y^3, y^2, x^3*y^3, 1]'	4
182	'[x^2, y^2, x^3*y^3, 1]'	4
183	'[x^3, x, x^3*y^3, 1]'	4
184	'[y^3, x, x^3*y^3, 1]'	4
185	'[x^2, x, x^3*y^3, 1]'	4
186	'[y^2, x, x^3*y^3, 1]'	4
187	'[x^3, y, x^3*y^3, 1]'	4
188	'[y^3, y, x^3*y^3, 1]'	4
189	'[x^2, y, x^3*y^3, 1]'	4
190	'[y^2, y, x^3*y^3, 1]'	4
191	'[x, y, x^3*y^3, 1]'	4
192	'[x^3, x*y, x^3*y^3, 1]'	4
193	'[y^3, x*y, x^3*y^3, 1]'	4
194	'[x^2, x*y, x^3*y^3, 1]'	4
195	'[y^2, x*y, x^3*y^3, 1]'	4
196	'[x, x*y, x^3*y^3, 1]'	4
197	'[y, x*y, x^3*y^3, 1]'	4
198	'[x^3, x^2*y^2, x^3*y^3, 1]'	4
199	'[y^3, x^2*y^2, x^3*y^3, 1]'	4
200	'[x^2, x^2*y^2, x^3*y^3, 1]'	4
201	'[y^2, x^2*y^2, x^3*y^3, 1]'	4
202	'[x, x^2*y^2, x^3*y^3, 1]'	4
203	'[y, x^2*y^2, x^3*y^3, 1]'	4
204	'[x*y, x^2*y^2, x^3*y^3, 1]'	4
205	'[x^3, y^3, x^2*y, 1]'	4
206	'[x^3, x^2, x^2*y, 1]'	4
207	'[y^3, x^2, x^2*y, 1]'	4
208	'[x^3, y^2, x^2*y, 1]'	4
209	'[y^3, y^2, x^2*y, 1]'	4
210	'[x^2, y^2, x^2*y, 1]'	4
211	'[x^3, x, x^2*y, 1]'	4
212	'[y^3, x, x^2*y, 1]'	4
213	'[x^2, x, x^2*y, 1]'	4
214	'[y^2, x, x^2*y, 1]'	4
215	'[x^3, y, x^2*y, 1]'	4
216	'[y^3, y, x^2*y, 1]'	4
217	'[x^2, y, x^2*y, 1]'	4
218	'[y^2, y, x^2*y, 1]'	4
219	'[x, y, x^2*y, 1]'	4
220	'[x^3, x*y, x^2*y, 1]'	4
221	'[y^3, x*y, x^2*y, 1]'	4
222	'[x^2, x*y, x^2*y, 1]'	4
223	'[y^2, x*y, x^2*y, 1]'	4
224	'[x, x*y, x^2*y, 1]'	4
225	'[y, x*y, x^2*y, 1]'	4
